"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","83.60","81.70","81.76","81.42","0.01K","3.18%"
"12/29/2022","81.02","80.38","82.22","80.34","1.94K","-0.81%"
"12/28/2022","81.68","82.22","82.30","82.04","1.21K","-1.60%"
"12/27/2022","83.01","82.59","82.79","82.46","0.44K","0.67%"
"12/23/2022","82.46","80.52","80.63","79.62","2.30K","3.02%"
"12/22/2022","80.04","81.16","81.75","81.15","3.38K","-2.06%"
"12/21/2022","81.72","79.44","80.34","79.35","1.74K","2.37%"
"12/20/2022","79.83","79.01","79.91","78.58","1.47K","0.85%"
"12/19/2022","79.16","78.97","78.97","77.92","0.83K","1.19%"
"12/16/2022","78.23","79.74","79.74","78.92","1.92K","-2.00%"
"12/15/2022","79.83","80.65","81.57","80.45","1.94K","-1.68%"
"12/14/2022","81.19","79.11","81.14","79.11","1.53K","1.93%"
"12/13/2022","79.65","78.44","79.12","77.74","2.31K","3.29%"
"12/12/2022","77.11","75.39","75.55","74.53","1.15K","2.27%"
"12/09/2022","75.40","75.02","75.36","74.93","1.90K","0.75%"
"12/08/2022","74.84","76.33","76.35","74.47","1.88K","-1.40%"
"12/07/2022","75.90","77.74","78.24","76.79","1.09K","-2.34%"
"12/06/2022","77.72","81.58","81.59","77.96","1.05K","-4.08%"
"12/05/2022","81.03","84.46","84.83","83.85","1.85K","-3.83%"
"12/02/2022","84.26","85.48","85.51","84.66","1.15K","-1.68%"
"12/01/2022","85.70","85.18","85.77","85.18","1.35K","1.41%"
"11/30/2022","84.51","83.90","84.79","83.90","0.47K","-1.31%"
"11/29/2022","85.63","88.95","88.95","87.74","1.37K","-0.59%"
"11/28/2022","86.14","86.30","86.30","83.95","1.45K","-0.25%"
"11/25/2022","86.36","86.19","88.50","86.19","2.25K","1.78%"
"11/24/2022","84.85","84.42","84.43","83.92","2.06K","0.57%"
"11/23/2022","84.37","88.80","90.35","88.21","1.17K","-3.21%"
"11/22/2022","87.17","87.32","87.85","86.78","1.01K","1.00%"
"11/21/2022","86.31","86.30","86.31","84.11","1.67K","-0.54%"
"11/18/2022","86.78","88.52","88.99","86.33","1.87K","-1.79%"
"11/17/2022","88.36","91.38","91.42","90.92","0.90K","-3.23%"
"11/16/2022","91.31","91.95","92.38","91.95","1.75K","-0.76%"
"11/15/2022","92.01","90.98","91.12","90.64","0.78K","0.20%"
"11/14/2022","91.83","94.89","94.98","94.52","0.99K","-3.30%"
"11/11/2022","94.96","94.38","95.15","94.29","1.05K","2.94%"
"11/10/2022","92.25","90.88","92.65","90.63","0.65K","0.91%"
"11/09/2022","91.42","93.77","93.82","93.34","0.89K","-2.88%"
"11/08/2022","94.13","95.83","96.32","93.86","1.67K","-2.41%"
"11/07/2022","96.45","96.27","97.40","96.03","1.47K","-1.22%"
"11/04/2022","97.64","95.48","96.28","95.34","1.13K","4.06%"
"11/03/2022","93.83","93.80","94.20","92.92","1.24K","-1.16%"
"11/02/2022","94.93","95.02","95.02","92.76","1.18K","0.63%"
"11/01/2022","94.34","93.71","94.54","93.70","1.05K","0.77%"
"10/31/2022","93.62","92.96","94.32","92.96","0.51K","0.00%"
"10/28/2022","93.62","94.52","94.59","94.25","1.86K","-1.63%"
"10/27/2022","95.17","94.94","94.95","93.64","2.28K","-0.16%"
"10/26/2022","95.32","93.22","93.48","92.87","3.25K","1.72%"
"10/25/2022","93.71","92.93","93.08","92.38","1.88K","0.76%"
"10/24/2022","93.00","92.23","92.23","91.19","0.73K","-0.86%"
"10/21/2022","93.81","92.56","92.56","91.46","1.19K","1.59%"
"10/20/2022","92.34","92.64","93.63","92.47","1.77K","1.49%"
"10/19/2022","90.98","88.50","90.06","88.25","1.43K","1.47%"
"10/18/2022","89.66","91.73","91.73","90.00","1.49K","-2.38%"
"10/17/2022","91.85","92.81","92.81","91.91","1.63K","-0.84%"
"10/14/2022","92.63","95.22","95.22","94.89","1.31K","-3.24%"
"10/13/2022","95.73","93.89","94.24","93.64","0.96K","2.00%"
"10/12/2022","93.85","95.86","96.06","94.06","0.99K","-1.87%"
"10/11/2022","95.64","97.02","97.02","95.82","1.26K","-1.92%"
"10/10/2022","97.51","98.84","98.84","98.43","1.18K","-1.75%"
"10/07/2022","99.25","96.52","96.52","96.31","1.11K","3.28%"
"10/06/2022","96.10","95.60","95.65","94.73","1.51K","1.15%"
"10/05/2022","95.01","93.08","95.26","92.91","1.96K","1.67%"
"10/04/2022","93.45","91.36","91.37","90.85","1.80K","3.12%"
"10/03/2022","90.62","90.31","90.82","89.97","1.21K","0.61%"
"09/30/2022","90.07","90.22","90.30","89.95","0.49K","0.65%"
"09/29/2022","89.49","89.53","89.53","88.00","1.00K","-0.95%"
"09/28/2022","90.35","86.76","86.79","86.54","0.60K","3.61%"
"09/27/2022","87.20","86.98","86.98","86.46","0.91K","1.61%"
"09/26/2022","85.82","87.24","87.24","86.72","1.24K","-2.29%"
"09/23/2022","87.83","92.18","92.18","88.47","3.16K","-4.81%"
"09/22/2022","92.27","91.48","92.78","91.36","2.04K","0.92%"
"09/21/2022","91.43","94.02","94.03","93.79","0.97K","-0.94%"
"09/20/2022","92.30","94.05","94.19","93.76","0.75K","-1.50%"
"09/19/2022","93.71","91.76","91.84","91.60","1.07K","0.63%"
"09/16/2022","93.12","92.82","92.97","92.15","1.67K","0.42%"
"09/15/2022","92.73","95.67","96.12","92.17","1.04K","-2.91%"
"09/14/2022","95.51","94.20","94.39","94.10","0.61K","1.30%"
"09/13/2022","94.28","96.16","96.16","95.31","0.73K","-1.29%"
"09/12/2022","95.51","94.43","96.15","94.08","1.18K","1.24%"
"09/09/2022","94.34","92.06","92.80","91.79","1.17K","3.94%"
"09/08/2022","90.76","89.04","89.76","89.03","0.76K","1.33%"
"09/07/2022","89.57","93.62","95.02","90.79","1.21K","-5.12%"
"09/06/2022","94.40","96.59","96.60","94.25","0.82K","-2.65%"
"09/05/2022","96.97","96.90","96.90","96.60","0.63K","2.61%"
"09/02/2022","94.50","95.41","96.22","94.93","1.18K","1.42%"
"09/01/2022","93.18","95.48","95.74","94.01","2.17K","-5.43%"
"08/31/2022","98.53","98.65","98.65","98.01","0.54K","-1.29%"
"08/30/2022","99.82","104.46","104.68","103.83","1.16K","-4.72%"
"08/29/2022","104.76","101.72","102.93","101.10","3.16K","4.39%"
"08/26/2022","100.35","100.73","101.04","100.71","2.88K","0.26%"
"08/25/2022","100.09","101.80","102.42","101.80","1.69K","-1.42%"
"08/24/2022","101.53","101.35","101.35","100.98","0.95K","0.99%"
"08/23/2022","100.53","98.33","99.79","98.13","2.24K","3.09%"
"08/22/2022","97.52","95.67","97.16","94.48","2.87K","-0.02%"
"08/19/2022","97.54","96.76","97.42","96.06","2.78K","0.52%"
"08/18/2022","97.04","94.59","96.60","94.27","2.19K","2.76%"
"08/17/2022","94.43","92.12","93.96","92.08","1.11K","1.71%"
"08/16/2022","92.84","94.43","94.91","92.33","1.50K","-2.84%"
"08/15/2022","95.55","96.62","96.62","93.60","0.92K","-2.76%"
"08/12/2022","98.26","99.39","100.30","97.63","1.18K","-1.64%"
"08/11/2022","99.90","98.04","99.63","97.30","1.61K","1.86%"
"08/10/2022","98.08","96.75","96.83","96.21","1.08K","1.12%"
"08/09/2022","96.99","95.81","96.04","95.67","0.27K","-0.39%"
"08/08/2022","97.37","95.90","97.00","94.52","0.94K","1.96%"
"08/05/2022","95.50","95.25","95.40","94.58","1.33K","0.95%"
"08/04/2022","94.60","97.42","97.44","94.38","0.78K","-2.87%"
"08/03/2022","97.40","99.68","102.41","97.40","1.02K","-3.55%"
"08/02/2022","100.99","99.83","101.04","99.06","0.95K","0.48%"
"08/01/2022","100.51","103.58","104.79","99.85","1.40K","-7.52%"
"07/29/2022","108.68","107.35","109.65","107.23","1.94K","2.91%"
"07/28/2022","105.61","106.55","106.58","106.28","3.28K","2.91%"
"07/27/2022","102.62","105.04","105.04","100.28","3.14K","-2.01%"
"07/26/2022","104.73","107.53","107.64","106.85","1.89K","-1.75%"
"07/25/2022","106.60","104.42","104.43","103.52","3.01K","1.18%"
"07/22/2022","105.36","105.84","106.19","105.30","0.50K","-0.62%"
"07/21/2022","106.02","105.57","105.88","104.25","1.09K","-2.03%"
"07/20/2022","108.22","107.82","107.82","107.18","0.88K","-0.75%"
"07/19/2022","109.04","108.71","108.86","108.04","2.16K","0.08%"
"07/18/2022","108.95","105.90","106.07","105.69","0.77K","5.19%"
"07/15/2022","103.57","101.55","101.55","101.26","1.54K","2.26%"
"07/14/2022","101.28","100.45","101.94","100.41","1.07K","0.14%"
"07/13/2022","101.14","101.99","102.19","101.90","0.97K","0.15%"
"07/12/2022","100.99","106.01","106.01","101.46","1.66K","-6.85%"
"07/11/2022","108.42","105.73","106.49","105.54","0.83K","0.04%"
"07/08/2022","108.38","105.62","108.33","105.57","1.25K","2.81%"
"07/07/2022","105.42","101.54","101.66","101.14","1.68K","4.00%"
